time,global_leaves,total_nodes,leaf_ratio,messages_sent
0,4,5,0.8,396
1,5,6,0.833333,495
2,6,9,0.666667,792
3,6,9,0.666667,792
4,4,10,0.4,891
5,5,13,0.384615,1188
6,6,15,0.4,1386
7,8,18,0.444444,1683
8,7,20,0.35,1881
9,7,23,0.304348,2178
10,8,26,0.307692,2475
11,8,28,0.285714,2673
12,7,29,0.241379,2772
13,7,31,0.225806,2970
14,6,32,0.1875,3069
15,6,33,0.181818,3168
16,6,34,0.176471,3267
17,7,36,0.194444,3465
18,7,39,0.179487,3762
19,11,43,0.255814,4158
20,10,46,0.217391,4455
21,10,48,0.208333,4653
22,9,49,0.183673,4752
23,7,52,0.134615,5049
24,9,55,0.163636,5346
25,7,57,0.122807,5544
26,7,57,0.122807,5544
27,5,58,0.0862069,5643
28,6,61,0.0983607,5940
29,9,64,0.140625,6237
30,8,66,0.121212,6435
31,7,67,0.104478,6534
32,7,67,0.104478,6534
33,4,69,0.057971,6732
34,7,72,0.0972222,7029
35,7,74,0.0945946,7227
36,7,77,0.0909091,7524
37,6,78,0.0769231,7623
38,6,80,0.075,7821
39,7,81,0.0864198,7920
40,9,87,0.103448,8514
41,11,89,0.123596,8712
42,8,92,0.0869565,9009
43,12,97,0.123711,9504
44,12,97,0.123711,9504
45,10,98,0.102041,9603
46,9,99,0.0909091,9702
47,9,101,0.0891089,9900
48,10,102,0.0980392,9999
49,10,104,0.0961538,10197
50,11,107,0.102804,10494
51,12,111,0.108108,10890
52,16,116,0.137931,11385
53,15,118,0.127119,11583
54,12,120,0.1,11781
55,12,121,0.0991736,11880
56,11,122,0.0901639,11979
57,9,124,0.0725806,12177
58,13,130,0.1,12771
59,14,132,0.106061,12969
60,14,133,0.105263,13068
61,11,136,0.0808824,13365
62,12,138,0.0869565,13563
63,12,138,0.0869565,13563
64,10,140,0.0714286,13761
65,10,142,0.0704225,13959
66,10,144,0.0694444,14157
67,10,144,0.0694444,14157
68,10,147,0.0680272,14454
69,11,148,0.0743243,14553
70,10,151,0.0662252,14850
71,11,153,0.0718954,15048
72,12,155,0.0774194,15246
73,12,158,0.0759494,15543
74,12,158,0.0759494,15543
75,10,159,0.0628931,15642
76,9,161,0.0559006,15840
77,9,161,0.0559006,15840
78,11,166,0.0662651,16335
79,11,166,0.0662651,16335
80,9,167,0.0538922,16434
81,9,170,0.0529412,16731
82,10,171,0.0584795,16830
83,11,175,0.0628571,17226
84,11,176,0.0625,17325
85,6,178,0.0337079,17523
86,7,179,0.0391061,17622
87,10,183,0.0546448,18018
88,10,187,0.0534759,18414
89,11,189,0.0582011,18612
90,9,193,0.0466321,19008
91,11,197,0.0558376,19404
92,9,198,0.0454545,19503
93,9,200,0.045,19701
94,8,201,0.039801,19800
95,8,202,0.039604,19899
96,9,204,0.0441176,20097
97,8,206,0.038835,20295
98,9,209,0.0430622,20592
99,11,211,0.0521327,20790
100,10,213,0.0469484,20988
